,strain(%),stress(MPa),stress_alpha,stress_beta,strain_t,stress_t,strain
0,0.00332033,14.2491,13.674089770604908,16.350756498684543,3.320274878253148e-05,14.24957311714203,3.32033e-05
1,0.00694198,17.7214,17.006883964396405,20.335936297639726,6.941739055716219e-05,17.72263021604372,6.941980000000001e-05
2,0.0102768,20.9546,20.110393889599468,24.046950041847516,0.0001027627197309,20.9567534623328,0.000102768
3,0.0136909,24.2279,23.252614939779694,27.804252510856017,0.0001368996288182,24.231217017561104,0.000136909
4,0.0173962,27.8198,26.70091352448883,31.927546378250558,0.0001739468703659,27.824639588047603,0.000173962
5,0.0208882,30.9792,29.73428349998636,35.554690464023714,0.0002088601871924,30.985670997254395,0.000208882
6,0.0247258,34.6148,33.22505960779047,39.72877671675758,0.0002472274367785,34.6233587862184,0.000247258
7,0.0282055,37.8515,36.3330741264465,43.445176816613944,0.0002820152299665,37.8621762048325,0.000282055
8,0.0316611,41.1207,39.47249262960662,47.19912814747208,0.000316560889314,41.1337192659477,0.0003166109999999
9,0.0350271,44.296,42.521950465638675,50.845509249719285,0.0003502096694344,44.311515604216005,0.000350271
10,0.0382967,47.4252,45.52731436883797,54.43916514897949,0.0003828936868554,47.4433622865684,0.000382967
11,0.0417997,50.9695,48.93149013340874,58.5096992714681,0.0004179096635907,50.9908050980915,0.000417997
12,0.0451815,54.4497,52.274301732128826,62.506857355741275,0.0004517129623364,54.4743011912055,0.000451815
13,0.0485805,57.9656,55.65162363525937,66.54528104478793,0.0004856870349548,57.993759978308006,0.0004858049999999
14,0.0522104,62.0313,59.55718235785289,71.21534250670088,0.0005219677511286,62.0636867898552,0.000522104
15,0.0558542,66.0218,63.39082985977679,75.79941631763177,0.0005583860734754,66.05867594821561,0.000558542
16,0.0593766,72.0774,69.20755039058027,82.75474443201341,0.0005935897907164,72.12019710948839,0.000593766
17,0.0629037,75.9138,72.89376886435352,87.16253037438644,0.0006288392391545,75.9615525890106,0.000629037
18,0.0665513,79.3863,76.23090332195703,91.1529000322588,0.0006652916444279,79.4391326146719,0.000665513
19,0.0698402,82.5022,79.22555832110974,94.73375078796862,0.0006981582308158,82.5598197014844,0.000698402
20,0.0734822,86.3817,82.95399980346716,99.19202478063113,0.0007345521505003,86.4451751735574,0.000734822
21,0.0768172,90.6262,87.0329747123894,104.06944818642185,0.0007678771068985,90.69581650930638,0.000768172
22,0.0803394,94.3567,90.61875386112125,108.35713407283541,0.0008030714517844,94.4325056066398,0.000803394
23,0.08412,98.0788,94.19696087103992,112.63576559438918,0.0008408463895708,98.16130388656,0.0008412
24,0.087956,101.944,97.9129336147317,117.07913012593308,0.0008791734137704,102.03366586464,0.00087956
25,0.0913238,105.326,101.16460659201115,120.96730944585697,0.0009128212518852,105.422187705588,0.0009132379999999
26,0.0946744,109.037,104.73249212817615,125.23359909260337,0.0009462961205616,109.140230125528,0.000946744
27,0.0980437,112.63,108.1872910644734,129.36466573813203,0.0009799566855641,112.74042661931,0.000980437
28,0.101466,116.598,112.00260182942476,133.92681344456543,0.0010141455804867,116.71630732668,0.00101466
29,0.104874,120.274,115.53765552405864,138.1538445040651,0.0010481904563916,120.40013615476002,0.00104874
30,0.108414,125.059,120.138472336142,143.65525897855127,0.0010835527446364,125.19458146425998,0.00108414
31,0.11202,128.925,123.85682333213208,148.10146729895968,0.0011195730441468,129.069421785,0.0011202
32,0.115452,133.792,128.53690276823983,153.69765984544998,0.0011538540543006,133.94646553984,0.00115452
33,0.118852,137.585,132.18540985611537,158.06035249836935,0.0011878142692327,137.74852252419998,0.00118852
34,0.122339,142.515,136.92669841170627,163.72973568679325,0.0012226422682369,142.68935142585,0.00122339
35,0.12573,146.484,140.74483255293137,168.29525943790168,0.0012565102602455,146.6681743332,0.0012573
36,0.129051,151.696,145.75746345198843,174.28909951232134,0.0012896780076893,151.89176520496,0.00129051
37,0.132383,154.838,148.78141248942984,177.9049785364539,0.0013229545096473,155.04297918954,0.00132383
38,0.135726,158.948,152.73574624313554,182.63336261217958,0.0013563397552263,159.16373376248,0.00135726
39,0.139025,164.389,157.96929676305382,188.89136673605933,0.0013892844972253,164.61754180725,0.00139025
40,0.142439,167.445,160.91143985110466,192.40942651364108,0.0014233765188446,167.68350698355,0.00142439
41,0.145718,170.797,164.13802194327147,196.26760347438088,0.0014561193434771,171.04588197246,0.0014571799999999
42,0.149209,174.292,167.50259882019552,200.29078733221627,0.0014909779397744,174.55205935028,0.00149209
43,0.152505,177.769,170.84977778539007,204.2931676833432,0.0015238882922069,178.04010661344998,0.00152505
44,0.156089,180.783,173.7526828206381,207.76430866357725,0.0015596730773608,181.06518237687,0.00156089
45,0.159489,183.725,176.58626824375918,211.15256090185588,0.0015936195136219,184.01802116525,0.0015948899999999
46,0.162977,186.134,178.90789543212864,213.92864044166978,0.0016284433660834,186.43735560918,0.00162977
47,0.166444,188.318,181.01337336729696,216.4462600864739,0.00166305635486,188.63144401192,0.00166444
48,0.170155,190.105,182.73782768791676,218.50827175690858,0.0017001040038561,190.42847316275,0.00170155
49,0.171313,190.626,183.24075558282817,219.1096464505112,0.0017116642665573,190.95256711938,0.00171313
50,0.174592,191.984,184.55218478105184,220.67778442862482,0.0017443976533496,192.31918870528003,0.00174592
51,0.175514,192.303,184.8605375285796,221.04649640690695,0.0017536015416669,192.64051868742,0.00175514
52,0.176371,192.61,185.15724009540745,221.40127771258224,0.0017621564898773,192.94970818310003,0.00176371
53,0.177412,192.905,185.44275254570258,221.7426784661559,0.0017725481079883,193.24723661860003,0.00177412
54,0.178214,193.192,185.72013719672515,222.07436042535238,0.0017805538726978,193.53629519088,0.00178214
55,0.179292,193.469,185.98842535609154,222.39516527882864,0.001791314637508,193.81587443948,0.00179292
56,0.180189,193.738,186.2486919838007,222.7063784071463,0.0018002685437124,194.08709456482,0.0018018899999999
