alpha,a,b,c,phi1,PHI,phi2,volume,old_gid,phaseID,GrainID,final_discrete_volume,final_conti_volume
148.17190551757812,8.60899167597367,5.64752469574757,8.60899167597367,77.66151815635673,97.78971005439439,72.6348440866746,4383.20068359375,612,1,1,4923.0,4383.200454623874
3.833048105239868,8.478437095217885,2.638891301008338,8.478437095217885,89.656169881357,102.30693577873612,200.9245501110546,1986.46875,36,1,2,2176.0,1986.4686893273142
172.21156311035156,6.293647499943224,4.654543406028815,6.293647499943224,278.14699117516767,84.1249831836523,159.1632462009693,1930.68115234375,801,2,3,2127.0,1930.6810436304247
2.257150411605835,9.905511645709549,1.7940512736699417,9.905511645709549,76.91443649183599,77.98497151633156,4.5680676169827965,1843.390380859375,938,2,4,1869.0,1843.3902866170324
12.082357406616211,7.1975452811066365,2.3127955801736713,7.1975452811066365,338.9307556843386,60.89196081978286,3.7021564415176376,1254.6849365234375,714,1,5,1303.0,1254.6849200049162
13.062395095825195,6.025788459247706,3.1441641317422504,6.025788459247706,250.99823230040363,103.09823182967051,161.73205472272946,1195.533203125,693,1,6,1443.0,1195.5330585117279
17.722064971923828,6.000317959491328,2.8266162552551726,6.000317959491328,162.71836515968667,22.48075651204364,126.05546746211346,1065.72216796875,752,1,7,1032.0,1065.7221666246705
21.353633880615234,6.7916734858412156,2.0821404527347775,6.7916734858412156,252.61355323188945,51.05762586466739,237.03941389144782,1005.755126953125,839,1,8,1122.0,1005.7550858566411
22.963743209838867,6.168414263665895,2.353415012402123,6.168414263665895,282.3598112363921,90.11039800172686,185.5422791524477,937.7222900390625,570,1,9,1089.0,937.7222111460015
31.26816177368164,5.372473091724247,2.491251220319417,5.372473091724247,133.5853253116157,147.36540547088097,50.871060859470155,752.9994506835938,196,2,10,962.0,752.9994177547306
3.050236463546753,5.9854051252293115,1.8029144426358727,5.9854051252293115,221.7259257327586,61.148691430875495,50.099018797696495,676.380126953125,695,1,11,816.0,676.3801256963261
10.504332542419434,5.322303627433643,2.2627815823383495,5.322303627433643,34.699058322136345,19.76423993199971,295.3011693484793,671.228759765625,86,1,12,690.0,671.2287445974971
177.11524963378906,5.679514597863793,1.9729929880323747,5.679514597863793,46.949218889575384,51.89247697885967,182.80207816539314,666.4638671875,53,1,13,723.0,666.463853716539
178.0266571044922,6.847337854901597,1.2492960238508761,6.847337854901597,132.91855734062986,120.8137452094615,99.79312131666283,613.3911743164062,679,1,14,647.0,613.3911272790378
155.7689666748047,5.091094969146617,2.237826669074916,5.091094969146617,66.36102220749413,95.82976734494727,260.62904105865846,607.4037475585938,141,1,15,778.0,607.4037376836585
27.696117401123047,5.212613874655015,1.9884853520525598,5.212613874655015,183.0203897535044,53.83057763869134,261.2791930671884,565.7989501953125,93,1,16,575.0,565.7989347704752
61.16231918334961,3.2776980470535153,4.840049845175345,3.2776980470535153,206.3847979025885,103.88387654653573,6.23991603055783,544.523193359375,49,1,17,568.0,544.5231358825307
171.33367919921875,4.647697963283654,1.6705546943156946,4.647697963283654,107.36520874872974,78.47330083345139,345.7114734705864,377.8897705078125,4,1,18,384.0,377.8897492598152
37.7750358581543,3.7546378629024213,2.31759764912465,3.7546378629024213,325.5147051311056,103.97045958295212,104.566073246987,342.1391906738281,617,1,19,353.0,342.1391486842437
177.9275665283203,5.290698087582006,1.0887037429196145,5.290698087582006,331.4735663926551,51.52351468188516,287.0073579497207,319.1275634765625,649,1,20,403.0,319.1275460098428
14.745513916015625,4.125427642440443,1.7463645296194665,4.125427642440443,63.66516472734629,99.02195325699368,341.07690800105877,311.2443542480469,818,2,21,357.0,311.244344168531
5.900078773498535,4.215312901167437,1.6476378847971127,4.215312901167437,181.66110135418728,111.59904869896457,210.14004611221884,306.5843811035156,185,1,22,319.0,306.5843787244044
158.86929321289062,4.098333967489924,1.566589444789392,4.098333967489924,12.036245049107869,71.99418993295627,88.73610270831635,275.5487976074219,806,1,23,215.0,275.54878802072386
175.8173370361328,4.045581125016955,1.445877559501977,4.045581125016955,178.33586566946062,125.08195434673812,107.62933485837225,247.81178283691406,643,1,24,210.0,247.81178967534774
9.510632514953613,4.424116471725981,1.2004968602206498,4.424116471725981,103.02379095755214,106.41851926361666,273.16733173018025,246.06097412109375,835,1,25,206.0,246.06098056589312
144.0608673095703,3.8906834837251396,1.4488070042571177,3.8906834837251396,130.6508694467972,107.4221121486931,345.67518314055803,229.66297912597656,369,1,26,294.0,229.66295983877322
14.263337135314941,3.769391190338001,1.527912025739645,3.769391190338001,276.4467649101137,37.69432999782816,160.1915149403403,227.3366241455078,875,1,27,270.0,227.3366151864334
207.8092041015625,3.747866200847902,1.4794888801292305,3.747866200847902,55.51960210433773,110.9457038462775,278.0489172128516,217.62486267089844,631,2,28,231.0,217.62484740203197
174.41529846191406,2.921675472747647,2.298384805944647,2.921675472747647,188.19693833622492,17.761573889006797,26.614642825838065,205.45433044433594,802,1,29,198.0,205.45433510646535
46.18552017211914,2.2361051196265844,3.4902082189753045,2.2361051196265844,3.4432591316216588,64.0165920451858,298.34978799763894,182.75296020507812,502,1,30,183.0,182.75294607508178
52.73563766479492,2.1705437735897175,3.693011311364858,2.1705437735897175,224.9300791846165,127.11666564310502,102.53408375914756,182.19915771484375,176,1,31,211.0,182.19915282160062
7.941414833068848,3.415264604113341,1.4738746965762477,3.415264604113341,9.450761092215735,96.19196269655941,199.4533824030542,180.02711486816406,488,1,32,197.0,180.0271039527728
